Mod:Item:MetaData, Localized Name
dcs_climate:dcs_device_thermometer:0, Galileo Thermometer
dcs_climate:dcs_device_windvane:0, Wind vane
dcs_climate:dcs_device_stevenson_screen:0, Stevenson Screen
dcs_climate:dcs_device_bellow:0, Bellow
dcs_climate:dcs_icons:0, item.dcs_icons_hac.name
dcs_climate:dcs_icons:1, item.dcs_icons_burning.name
dcs_climate:dcs_icons:2, item.dcs_icons_freezing.name
dcs_climate:dcs_ingot:0, Copper Ingot
dcs_climate:dcs_ingot:1, Zinc Ingot
dcs_climate:dcs_ingot:2, Nickel Ingot
dcs_climate:dcs_ingot:3, Silver Ingot
dcs_climate:dcs_ingot:4, Brass Ingot
dcs_climate:dcs_ingot:5, Steel Ingot
dcs_climate:dcs_ingot:6, NickelSilver Ingot
dcs_climate:dcs_ingot:7, Magnet Ingot
dcs_climate:dcs_ingot:8, Tin Ingot
dcs_climate:dcs_ingot:9, Bronze Ingot
dcs_climate:dcs_ingot:10, Stainless Steel Ingot
dcs_climate:dcs_ingot:11, Titanium Ingot
dcs_climate:dcs_ingot:12, Aluminium Ingot
dcs_climate:dcs_ingot:13, Bismuth Ingot
dcs_climate:dcs_ingot:14, BSCCO Ingot
dcs_climate:dcs_ingot:15, Lead Ingot
dcs_climate:dcs_oredust:0, Copper Dust
dcs_climate:dcs_oredust:1, Zinc Dust
dcs_climate:dcs_oredust:2, Nickel Dust
dcs_climate:dcs_oredust:3, Silver Dust
dcs_climate:dcs_oredust:4, Gold Dust
dcs_climate:dcs_oredust:5, Iron Dust
dcs_climate:dcs_oredust:6, Steel Dust
dcs_climate:dcs_oredust:7, Magnetite Dust
dcs_climate:dcs_oredust:8, Tin Dust
dcs_climate:dcs_oredust:9, Chromium Dust
dcs_climate:dcs_oredust:10, Titanium Dust
dcs_climate:dcs_oredust:11, Aluminium Dust
dcs_climate:dcs_oredust:12, Bismuth Dust
dcs_climate:dcs_oredust:13, Lead Dust
dcs_climate:dcs_gem:0, Blue Chalcedony
dcs_climate:dcs_gem:1, Red Chalcedony
dcs_climate:dcs_gem:2, White Chalcedony
dcs_climate:dcs_gem:3, Gypsum
dcs_climate:dcs_gem:4, Sapphire
dcs_climate:dcs_gem:5, Malachite
dcs_climate:dcs_gem:6, Celestite
dcs_climate:dcs_gem:7, Fossil Princess
dcs_climate:dcs_gem:8, Rock Salt
dcs_climate:dcs_gem:9, Niter
dcs_climate:dcs_gem:10, Sulfur
dcs_climate:dcs_gem:11, Schorl
dcs_climate:dcs_gem:12, Serpentine
dcs_climate:dcs_gem:13, Olivine
dcs_climate:dcs_gem:14, Almandine
dcs_climate:dcs_gem:15, Rutile Quartz
dcs_climate:dcs_gem:16, Bauxite
dcs_climate:dcs_gem:17, Bismuth Crystal
dcs_climate:dcs_gem:18, Apatite
dcs_climate:dcs_gem:19, jadeite
dcs_climate:dcs_gem:20, Moonstone
dcs_climate:dcs_gem:21, Kunzite
dcs_climate:dcs_miscdust:0, Coal Dust
dcs_climate:dcs_miscdust:1, Quartz Dust
dcs_climate:dcs_miscdust:2, Lime Dust
dcs_climate:dcs_miscdust:3, Wood Dust
dcs_climate:dcs_miscdust:4, Presscake
dcs_climate:dcs_miscdust:5, Ash
dcs_climate:dcs_miscdust:6, Niter Dust
dcs_climate:dcs_miscdust:7, Sulfur Dust
dcs_climate:dcs_miscdust:8, Garnet Sand
dcs_climate:dcs_miscdust:9, Apatite Dust
dcs_climate:dcs_miscdust:10, Borax
dcs_climate:dcs_miscdust:11, Chrysotile
dcs_climate:dcs_miscdust:12, Mica Dust
dcs_climate:dcs_miscdust:13, Slate Piece
dcs_climate:dcs_fooddust:0, Bran
dcs_climate:dcs_fooddust:1, Plant Dust
dcs_climate:dcs_fooddust:2, Molasses
dcs_climate:dcs_fooddust:3, Malt
dcs_climate:dcs_fooddust:4, Defatted Soy
dcs_climate:dcs_fooddust:5, Soy Pulp
dcs_climate:dcs_fooddust:6, Baking Soda
dcs_climate:dcs_material:0, item.dcs_material_string_linen.name
dcs_climate:dcs_material:1, item.dcs_material_string_cotton.name
dcs_climate:dcs_material:2, item.dcs_material_cloth_linen.name
dcs_climate:dcs_material:3, item.dcs_material_cloth_cotton.name
dcs_climate:dcs_material:4, item.dcs_material_spindle_wood.name
dcs_climate:dcs_material:5, item.dcs_material_spindle_brass.name
dcs_climate:dcs_material:6, item.dcs_material_spindle_alloy.name
dcs_climate:dcs_material:7, item.dcs_material_spindle_steel.name
dcs_climate:dcs_material:8, item.dcs_material_string_chrysotile.name
dcs_climate:dcs_material:9, item.dcs_material_cloth_chrysotile.name
dcs_climate:dcs_spindle:0, Wooden Spindle
dcs_climate:dcs_spindle:1, Brass Spindle
dcs_climate:dcs_spindle:2, Alloy Spindle
dcs_climate:dcs_spindle:3, Steel Spindle
dcs_climate:dcs_misc:0, Linen String
dcs_climate:dcs_misc:1, Cotton String
dcs_climate:dcs_misc:2, Linen Cloth
dcs_climate:dcs_misc:3, Cotton Cloth
dcs_climate:dcs_misc:4, Chrysotile String
dcs_climate:dcs_misc:5, Chrysotile Cloth
dcs_climate:dcs_misc:6, Silk String
dcs_climate:dcs_misc:7, Silk Cloth
dcs_climate:dcs_misc:8, Magical String
dcs_climate:dcs_misc:9, Magical Cloth
dcs_climate:dcs_pattern_paper:0, Pattern Paper(Suit)
dcs_climate:dcs_pattern_paper:1, Pattern Paper(Coat)
dcs_climate:dcs_pattern_paper:2, Pattern Paper(jacket)
dcs_climate:dcs_pattern_paper:3, Pattern Paper(Hoodie)
dcs_climate:dcs_pattern_paper:4, Pattern Paper(Shirt)
dcs_climate:dcs_pattern_paper:5, Pattern Paper(Pants)
dcs_climate:dcs_pattern_paper:6, Pattern Paper(Skirt)
dcs_climate:dcs_pattern_paper:7, Pattern Paper(Boots)
dcs_climate:dcs_pattern_paper:8, Pattern Paper(Wear)
dcs_climate:dcs_silkworm:0, Silkworm Egg Card
dcs_climate:dcs_silkworm:1, Silkworm
dcs_climate:dcs_silkworm:2, Silk Cocoon
dcs_climate:dcs_silkworm:3, Silkmoth
dcs_climate:dcs_yagen_stone, item.dcs_yagen_stone.name
dcs_climate:dcs_yagen_brass, item.dcs_yagen_brass.name
dcs_climate:dcs_creative_drill:0, Crow's Drill
dcs_climate:dcs_thermal_scope:0, Thermal Scope
dcs_climate:dcs_entity_scope:0, Enemy Scope
dcs_climate:dcs_food_materials:0, Salt
dcs_climate:dcs_food_materials:1, Flour
dcs_climate:dcs_food_materials:2, Rice
dcs_climate:dcs_food_materials:3, Starch
dcs_climate:dcs_food_itemfood:0, Baked Apple
dcs_climate:dcs_food_itemfood:1, Boiled Egg
dcs_climate:dcs_food_itemfood:2, Jerky
dcs_climate:dcs_food_itemfood:3, Boiled Sausage
dcs_climate:dcs_food_itemfood:4, Cooked Squid
dcs_climate:dcs_food_itemfood:5, Boiled Lotus Seeds
dcs_climate:dcs_food_itemfood:6, Edamame
dcs_climate:dcs_wrench, Adjustable Wrench
dcs_climate:dcs_tinder:0, Tinder
dcs_climate:dcs_tinder:1, Burning Stick
dcs_climate:dcs_tinder:2, Firestarter
dcs_climate:dcs_axe_brass, Brass Axe
dcs_climate:dcs_axe_steel, Steel Axe
dcs_climate:dcs_axe_silver, Silver Axe
dcs_climate:dcs_axe_nickelsilver, Nickelsilver Axe
dcs_climate:dcs_axe_chalcedony, Chalcedony Axe
dcs_climate:dcs_axe_sapphire, Sapphire Axe
dcs_climate:dcs_axe_titanium, Titanium Axe
dcs_climate:dcs_axe_garnet, Garnet Axe
dcs_climate:dcs_pickaxe_brass, Brass Pickaxe
dcs_climate:dcs_pickaxe_steel, Steel Pickaxe
dcs_climate:dcs_pickaxe_silver, Silver Pickaxe
dcs_climate:dcs_pickaxe_nickelsilver, Nickelsilver Pickaxe
dcs_climate:dcs_pickaxe_chalcedony, Chalcedony Pickaxe
dcs_climate:dcs_pickaxe_sapphire, Sapphire Pickaxe
dcs_climate:dcs_pickaxe_titanium, Titanium Pickaxe
dcs_climate:dcs_pickaxe_garnet, Garnet Pickaxe
dcs_climate:dcs_spade_brass, Brass Spade
dcs_climate:dcs_spade_steel, Steel Spade
dcs_climate:dcs_spade_silver, Silver Spade
dcs_climate:dcs_spade_nickelsilver, Nickelsilver Spade
dcs_climate:dcs_spade_chalcedony, Chalcedony Spade
dcs_climate:dcs_spade_sapphire, Sapphire Spade
dcs_climate:dcs_spade_titanium, Titanium Spade
dcs_climate:dcs_spade_garnet, Garnet Spade
dcs_climate:dcs_sword_brass, Brass Sword
dcs_climate:dcs_sword_steel, Steel Sword
dcs_climate:dcs_sword_silver, Silver Sword
dcs_climate:dcs_sword_nickelsilver, Nickelsilver Sword
dcs_climate:dcs_sword_chalcedony, Chalcedony Sword
dcs_climate:dcs_sword_sapphire, Sapphire Sword
dcs_climate:dcs_sword_titanium, Titanium Sword
dcs_climate:dcs_sword_garnet, Garnet Sword
dcs_climate:dcs_scythe_brass, Bras Scythe
dcs_climate:dcs_scythe_steel, Steel Scythe
dcs_climate:dcs_scythe_chalcedony, Chalcedony Scythe
dcs_climate:dcs_scythe_garnet, Garnet Scythe
dcs_climate:dcs_scythe_stone, Stone Scythe
dcs_climate:dcs_spade_earth, Spade of the Earth
dcs_climate:dcs_rake_earth, Rake of the Earth
dcs_climate:dcs_crossbow, Crossbow
dcs_climate:dcs_musket, Musket
dcs_climate:dcs_cartridge:0, Crossbow Bolt
dcs_climate:dcs_cartridge:1, Ammo
dcs_climate:dcs_cartridge:2, Shotgun Ammo
dcs_climate:dcs_cartridge:3, Silver Bullet Ammo
dcs_climate:dcs_cartridge:4, Ghost Bullet Ammo
dcs_climate:dcs_cartridge:5, Light Bullet Ammo
dcs_climate:dcs_cartridge:6, Extinguisher Bullet Ammo
dcs_climate:dcs_cartridge:7, Decoy balloon Ammo
dcs_climate:dcs_met_brass, Brass Helmet
dcs_climate:dcs_met_steel, Steel Helmet
dcs_climate:dcs_met_chalcedony, Chalcedony Helmet
dcs_climate:dcs_met_sapphire, Sapphire Helmet
dcs_climate:dcs_met_titanium, Titanium Helmet
dcs_climate:dcs_met_silver, Silver Helmet
dcs_climate:dcs_plate_brass, Brass Plate
dcs_climate:dcs_plate_steel, Steel Plate
dcs_climate:dcs_plate_chalcedony, Chalcedony Plate
dcs_climate:dcs_plate_sapphire, Sapphire Plate
dcs_climate:dcs_plate_titanium, Titanium Plate
dcs_climate:dcs_plate_silver, Silver Plate
dcs_climate:dcs_leggins_brass, Brass Chain Mail
dcs_climate:dcs_leggins_steel, Steel Chain Mail
dcs_climate:dcs_leggins_chalcedony, Chalcedony Belt
dcs_climate:dcs_leggins_sapphire, Sapphire Belt
dcs_climate:dcs_leggins_titanium, Titanium Chain Mail
dcs_climate:dcs_leggins_silver, SilverChain Mail
dcs_climate:dcs_boots_brass, Brass Boots
dcs_climate:dcs_boots_steel, Steel Boots
dcs_climate:dcs_boots_chalcedony, Chalcedony Boots
dcs_climate:dcs_boots_sapphire, Sapphire Boots
dcs_climate:dcs_boots_titanium, Titanium Boots
dcs_climate:dcs_boots_silver, Silver Boots
dcs_climate:dcs_leggins_linen, Linen Doublet
dcs_climate:dcs_coat_linen, Surcoat
dcs_climate:dcs_shirt_linen, T-Shirt
dcs_climate:dcs_jacket_linen, Linen Jacket
dcs_climate:dcs_pants_linen, Linen Pants
dcs_climate:dcs_skirt_linen, Flower Skirt
dcs_climate:dcs_leggins_cloth, Kilt Doublet
dcs_climate:dcs_coat_trench, Trench Coat
dcs_climate:dcs_shirt_cloth, Shirt
dcs_climate:dcs_jacket_cloth, Tailored Jacket
dcs_climate:dcs_hoodie_white, Hoodie
dcs_climate:dcs_pants_cloth, Jeans Pants
dcs_climate:dcs_skirt_cloth, Box Pleat Skirt
dcs_climate:dcs_leggins_worker, Worker Suit
dcs_climate:dcs_hat_cotton, Cotton Hat
dcs_climate:dcs_leggins_suit, Black Suit
dcs_climate:dcs_coat_black, Frock Coat
dcs_climate:dcs_dress_silk, Silk Dress
dcs_climate:dcs_cape_silk, Silk Cape
dcs_climate:dcs_hoodie_pea, Pea Coat
dcs_climate:dcs_hoodie_mods, Mods Coat
dcs_climate:dcs_jacket_wool, Knit Jacket
dcs_climate:dcs_cape_fur, Fur Cape
dcs_climate:dcs_wear_wool, Wool Hat
dcs_climate:dcs_wear_fur, Fur Hat
dcs_climate:dcs_boots_wool, Wool Boots
dcs_climate:dcs_leggins_track, Track Suit
dcs_climate:dcs_leggins_combatdress, Combat Dress
dcs_climate:dcs_leggins_magic, Magical Suit
dcs_climate:dcs_coat_magic, Magical Robe
dcs_climate:dcs_hat_leather, Leather Hat
dcs_climate:dcs_build_bricks:0, Gypsum Bricks
dcs_climate:dcs_build_bricks:1, Marble Bricks
dcs_climate:dcs_build_bricks:2, Lime Bricks
dcs_climate:dcs_build_build:0, Concrete Block
dcs_climate:dcs_build_build:1, Red Mosaic Block
dcs_climate:dcs_build_build:2, Blue Mosaic Block
dcs_climate:dcs_build_build:3, Yellow Mosaic Block
dcs_climate:dcs_build_build:4, Black Mosaic Block
dcs_climate:dcs_build_build:5, Road Block
dcs_climate:dcs_build_build:6, White Plaster Block
dcs_climate:dcs_build_build:7, Dirt Brick Block
dcs_climate:dcs_build_build:8, Flint Brick
dcs_climate:dcs_build_build:9, Gray Flint Brick
dcs_climate:dcs_build_build:10, Red Flint Brick
dcs_climate:dcs_build_claybrick:0, White Clay Brick
dcs_climate:dcs_build_claybrick:1, Orange Clay Brick
dcs_climate:dcs_build_claybrick:2, Magenta Clay Brick
dcs_climate:dcs_build_claybrick:3, Light Blue Clay Brick
dcs_climate:dcs_build_claybrick:4, Yellow Clay Brick
dcs_climate:dcs_build_claybrick:5, Lime Clay Brick
dcs_climate:dcs_build_claybrick:6, Pink Clay Brick
dcs_climate:dcs_build_claybrick:7, Gray Clay Brick
dcs_climate:dcs_build_claybrick:8, Silver Clay Brick
dcs_climate:dcs_build_claybrick:9, Cyan Clay Brick
dcs_climate:dcs_build_claybrick:10, Purple Clay Brick
dcs_climate:dcs_build_claybrick:11, Blue Clay Brick
dcs_climate:dcs_build_claybrick:12, Brown Clay Brick
dcs_climate:dcs_build_claybrick:13, Green Clay Brick
dcs_climate:dcs_build_claybrick:14, red Clay Brick
dcs_climate:dcs_build_claybrick:15, Black Clay Brick
dcs_climate:dcs_build_selenite:0, Selenite Glass
dcs_climate:dcs_build_selenite:1, Selenite Light Glass
dcs_climate:dcs_build_selenite:2, Selenite Shade Glass
dcs_climate:dcs_build_selenite:3, Fused Quartz
dcs_climate:dcs_build_linoleum:0, Black Linoleum
dcs_climate:dcs_build_linoleum:1, Red Linoleum
dcs_climate:dcs_build_linoleum:2, Green Linoleum
dcs_climate:dcs_build_linoleum:3, Brown Linoleum
dcs_climate:dcs_build_linoleum:4, Blue Linoleum
dcs_climate:dcs_build_linoleum:5, Purple Linoleum
dcs_climate:dcs_build_linoleum:6, Cyan Linoleum
dcs_climate:dcs_build_linoleum:7, Silver Linoleum
dcs_climate:dcs_build_linoleum:8, Gray Linoleum
dcs_climate:dcs_build_linoleum:9, Pink Linoleum
dcs_climate:dcs_build_linoleum:10, Lime Linoleum
dcs_climate:dcs_build_linoleum:11, Yellow Linoleum
dcs_climate:dcs_build_linoleum:12, Light Blue Linoleum
dcs_climate:dcs_build_linoleum:13, Magenda Linoleum
dcs_climate:dcs_build_linoleum:14, Orange Linoleum
dcs_climate:dcs_build_linoleum:15, White Linoleum
dcs_climate:dcs_build_synthetic_glass:0, White Acrylic Glass
dcs_climate:dcs_build_synthetic_glass:1, Orange Acrylic Glass
dcs_climate:dcs_build_synthetic_glass:2, Magenta Acrylic Glass
dcs_climate:dcs_build_synthetic_glass:3, Light Blue Acrylic Glass
dcs_climate:dcs_build_synthetic_glass:4, Yellow Acrylic Glass
dcs_climate:dcs_build_synthetic_glass:5, Lime Acrylic Glass
dcs_climate:dcs_build_synthetic_glass:6, Pink Acrylic Glass
dcs_climate:dcs_build_synthetic_glass:7, Gray Acrylic Glass
dcs_climate:dcs_build_synthetic_glass:8, Silver Acrylic Glass
dcs_climate:dcs_build_synthetic_glass:9, Cyan Acrylic Glass
dcs_climate:dcs_build_synthetic_glass:10, Purple Acrylic Glass
dcs_climate:dcs_build_synthetic_glass:11, Blue Acrylic Glass
dcs_climate:dcs_build_synthetic_glass:12, Brown Acrylic Glass
dcs_climate:dcs_build_synthetic_glass:13, Green Acrylic Glass
dcs_climate:dcs_build_synthetic_glass:14, red Acrylic Glass
dcs_climate:dcs_build_synthetic_glass:15, Black Acrylic Glass
dcs_climate:dcs_stairs_glass:0, Selenite Stairs
dcs_climate:dcs_stairs_gypsum:0, Gypsum Stairs
dcs_climate:dcs_stairs_marble:0, Marble Stairs
dcs_climate:dcs_stairs_serpentine:0, Serpentine Stairs
dcs_climate:dcs_stairs_bedrock:0, Bedrock Stairs
dcs_climate:dcs_stairs_dirtbrick:0, Dirt Brick Stairs
dcs_climate:dcs_build_slab:0, Gypsum Slab
dcs_climate:dcs_build_slab:1, Selenite Slab
dcs_climate:dcs_build_slab:2, Marble Slab
dcs_climate:dcs_build_slab:3, Serpentine Slab
dcs_climate:dcs_build_slab:4, Bedrock Slab
dcs_climate:dcs_build_slab:5, Dirt Brick Slab
dcs_climate:dcs_build_slab_chal:0, Blue Chalcedony Slab
dcs_climate:dcs_build_slab_chal:1, Red Chalcedony Slab
dcs_climate:dcs_build_slab_chal:2, White Chalcedony Slab
dcs_climate:dcs_build_slab_chal:3, Blue Chalcedony Slab (Lit)
dcs_climate:dcs_build_slab_chal:4, Red Chalcedony Slab (Lit)
dcs_climate:dcs_build_slab_chal:5, White Chalcedony Slab (Lit)
dcs_climate:dcs_build_slab_chal:6, Wood Lamp Slab
dcs_climate:dcs_build_slab_slate:0, Slate Slab
dcs_climate:dcs_build_slab_slate:1, Red Slate Slab
dcs_climate:dcs_build_slab_slate:2, Green Slate Slab
dcs_climate:dcs_build_slab_slate:3, Brown Slate Slab
dcs_climate:dcs_fence_gypsum:0, Gypsum Fence
dcs_climate:dcs_fence_marble:0, Marble Fence
dcs_climate:dcs_fence_serpentine:0, Serpentine Fence
dcs_climate:dcs_fence_bedrock:0, Bedrock Fence
dcs_climate:dcs_roof_slate:0, Slate Roof
dcs_climate:dcs_roof_slate_red:0, Red Slate Roof
dcs_climate:dcs_roof_slate_green:0, Green Slate Roof
dcs_climate:dcs_roof_slate_brown:0, Brown Slate Roof
dcs_climate:dcs_build_challamp:0, Blue Chalcedony Lamp
dcs_climate:dcs_build_challamp:1, Red Chalcedony Lamp
dcs_climate:dcs_build_challamp:2, White Chalcedony Lamp
dcs_climate:dcs_build_challamp:3, Wooden Lamp
dcs_climate:dcs_build_challamp:4, Blue Glass Lamp
dcs_climate:dcs_build_challamp:5, Red Glass Lamp
dcs_climate:dcs_build_challamp:6, White Glass Lamp
dcs_climate:dcs_build_challamp:7, Wooden Glass Lamp
dcs_climate:dcs_build_challamp:8, Blue Table Lamp
dcs_climate:dcs_build_challamp:9, Red Table Lamp
dcs_climate:dcs_build_challamp:10, White Table Lamp
dcs_climate:dcs_build_challamp:11, Wooden Table Lamp
dcs_climate:dcs_build_challamp:12, Blue Pendant Lamp
dcs_climate:dcs_build_challamp:13, Red Pendant Lamp
dcs_climate:dcs_build_challamp:14, White Pendant Lamp
dcs_climate:dcs_build_challamp:15, Wooden Pendant Lamp
dcs_climate:dcs_build_walllamp:0, Blue Wall Lamp
dcs_climate:dcs_build_walllamp:1, Red Wall Lamp
dcs_climate:dcs_build_walllamp:2, White Wall Lamp
dcs_climate:dcs_build_walllamp:3, Wooden Wall Lamp
dcs_climate:dcs_desiccant:0, Desiccant
dcs_climate:dcs_coolant:0, Coolant Pack
dcs_climate:dcs_pillar_steel:0, Steel Pillar
dcs_climate:dcs_fence_steel:0, Steel Fence
dcs_climate:dcs_fence_net_steel:0, Steel Lattice
dcs_climate:dcs_fence_ladder_steel:0, Steel Ladder
dcs_climate:dcs_fence_aluminium:0, Aluminium Fence
dcs_climate:dcs_fence_net:0, Fence Net
dcs_climate:dcs_fence_glass:0, Glass Fence
dcs_climate:dcs_fence_ladder:0, Aluminium Ladder
dcs_climate:dcs_build_awning:0, Wooden Awning
dcs_climate:dcs_build_awning:1, Metal Awning
dcs_climate:dcs_build_awning:2, Linen Awning
dcs_climate:dcs_build_awning:3, Cotton Awning
dcs_climate:dcs_table_marble:0, Marble Table
dcs_climate:dcs_table_gypsum:0, Gypsum Table
dcs_climate:dcs_table_wood:0, Wooden Table
dcs_climate:dcs_table_darkwood:0, Dark Wooden Table
dcs_climate:dcs_squaretable_wood:0, Wooden Square Table
dcs_climate:dcs_squaretable_marble:0, Marble Square Table
dcs_climate:dcs_squaretable_checker:0, Checker Square Table
dcs_climate:dcs_squaretable_black:0, Black Square Table
dcs_climate:dcs_carpet_red:0, Carpet Wood (Red)
dcs_climate:dcs_carpet_white:0, Carpet Wood (White)
dcs_climate:dcs_carpet_gray:0, Carpet Wood (Black)
dcs_climate:dcs_sofa_black:0, Sofa (Black)
dcs_climate:dcs_sofa_red:0, Sofa (Red)
dcs_climate:dcs_stool_black:0, Stool (Black)
dcs_climate:dcs_stool_red:0, Stool (Red)
dcs_climate:dcs_chair_wood:0, Wooden Chair
dcs_climate:dcs_chair_marble:0, Marble Chair
dcs_climate:dcs_chair_checker:0, Checker Chair
dcs_climate:dcs_chair_black:0, Black Chair
dcs_climate:dcs_build_plate:0, Iron Plate
dcs_climate:dcs_build_plate:1, Iron Mesh
dcs_climate:dcs_lamp_carbide_lantern:0, Carbide Lantern
dcs_climate:dcs_lamp_carbide_glass:0, Street Lamp
dcs_climate:dcs_device_lowchest_marble:0, Marble Low Chest
dcs_climate:dcs_device_lowchest_wood:0, Wooden Low Chest
dcs_climate:dcs_device_lowchest_checker:0, Checker Low Chest
dcs_climate:dcs_device_lowchest_black:0, Black Low Chest
dcs_climate:dcs_wallshelf_marble:0, Marble Wall Shelf
dcs_climate:dcs_wallshelf_wood:0, Wood Wall Shelf
dcs_climate:dcs_wallshelf_checker:0, Checker Wall Shelf
dcs_climate:dcs_wallshelf_black:0, Black Wall Shelf
dcs_climate:dcs_device_sink_half:0, Sink (Half)
dcs_climate:dcs_device_sink_full:0, Sink
dcs_climate:dcs_hedge_spring:0, Azalea Hedge
dcs_climate:dcs_hedge_summer:0, Hydrangea Hedge
dcs_climate:dcs_hedge_autumn:0, Osmanthus Hedge
dcs_climate:dcs_hedge_winter:0, Camellia Hedge
dcs_climate:dcs_build_chandelier:0, Gypsum Chandelier
dcs_climate:dcs_door_marble:0, tile.dcs_door_marble_0.name
dcs_climate:dcs_door_marble_item, Marble Door
dcs_climate:dcs_door_steel:0, tile.dcs_door_steel_0.name
dcs_climate:dcs_door_steel_item, Steel Door
dcs_climate:dcs_device_realtimeclock:0, Real Time Clock
dcs_climate:dcs_device_realtimeclock_l:0, Real Time Big Clock
dcs_climate:dcs_device_mcclock_l:0, Big Clock
dcs_climate:dcs_build_curtain:0, Curtain
dcs_climate:dcs_device_chest_metal:0, Metal Chest
dcs_climate:dcs_device_chest_magnet:0, Magnet Chest
dcs_climate:dcs_device_chest_village:0, Villager Chest
dcs_climate:dcs_build_shield:0, Commendation shield of the Climate
dcs_climate:dcs_flowerpot:0, White Flower Pot
dcs_climate:dcs_flowerpot:1, Brown Flower Pot
dcs_climate:dcs_big_cushion:0, Gray Big Cushion for the Lazy Mobs
dcs_climate:dcs_big_cushion:1, Brown Big Cushion for the Lazy Mobs
dcs_climate:dcs_cont_log:0, Oak Log Box
dcs_climate:dcs_cont_log:1, Spruce Log Box
dcs_climate:dcs_cont_log:2, Birch Log Box
dcs_climate:dcs_cont_log:3, Jungle Log Box
dcs_climate:dcs_cont_log:4, Acacia Log Box
dcs_climate:dcs_cont_log:5, Dark Log Box
dcs_climate:dcs_cont_log:6, Charcoal Box
dcs_climate:dcs_cont_crop:0, Apple Box
dcs_climate:dcs_cont_crop:1, Potato Box
dcs_climate:dcs_cont_crop:2, Carrot Box
dcs_climate:dcs_cont_crop:3, Pumpkin Box
dcs_climate:dcs_cont_crop:4, Melon Box
dcs_climate:dcs_cont_crop:5, Cactus Box
dcs_climate:dcs_cont_crop:6, Reed Box
dcs_climate:dcs_cont_crop:7, Wart Box
dcs_climate:dcs_cont_crop:8, Cocoa Box
dcs_climate:dcs_cont_crop:9, Baked Apple Box
dcs_climate:dcs_cont_crop:10, Baked Potato Box
dcs_climate:dcs_cont_crop:11, Beets Container
dcs_climate:dcs_cont_metal:0, Rotten Flesh Box
dcs_climate:dcs_cont_metal:1, Bone Box
dcs_climate:dcs_cont_metal:2, Spider Eye Box
dcs_climate:dcs_cont_metal:3, Ender Pearl Box
dcs_climate:dcs_cont_metal:4, Gunpowder Box
dcs_climate:dcs_cont_metal:5, Blaze Rod Container
dcs_climate:dcs_cont_misc:0, Clay Box
dcs_climate:dcs_cont_misc:1, Fish Box
dcs_climate:dcs_cont_misc:2, Leather Box
dcs_climate:dcs_cont_misc:3, Fur Box
dcs_climate:dcs_cont_cardboard:0, Beef Box
dcs_climate:dcs_cont_cardboard:1, Pork Box
dcs_climate:dcs_cont_cardboard:2, Chicken Box
dcs_climate:dcs_cont_cardboard:3, Mutton Box
dcs_climate:dcs_cont_cardboard:4, Egg Box
dcs_climate:dcs_cont_cardboard:5, Wool Box
dcs_climate:dcs_cont_bags:0, Sugar Bags
dcs_climate:dcs_cont_bags:1, Salt Bags
dcs_climate:dcs_cont_bags:2, Flour Bags
dcs_climate:dcs_cont_bags:3, Rice Bags
dcs_climate:dcs_cont_bags:4, Starch Bags
dcs_climate:dcs_cont_bags:5, Wheat Seeds Bags
dcs_climate:dcs_cont_bags:6, Soy Beans Bag
dcs_climate:dcs_cont_bags:7, Rice Seed Bag
dcs_climate:dcs_cont_basket:0, Rice Plant Basket
dcs_climate:dcs_cont_basket:1, Onion Basket
dcs_climate:dcs_cont_basket:2, Spinach Basket
dcs_climate:dcs_cont_basket:3, Tomato Basket
dcs_climate:dcs_cont_basket:4, Coffee Cherry Basket
dcs_climate:dcs_cont_basket:5, Cotton Flower Basket
dcs_climate:dcs_cont_basket:6, Lemon Basket
dcs_climate:dcs_cont_basket:7, Olive Basket
dcs_climate:dcs_cont_basket:8, Tea Leaves Basket
dcs_climate:dcs_cont_basket:9, Lotus Seed Basket
dcs_climate:dcs_cont_basket:10, Mulberry Basket
dcs_climate:dcs_cont_basket:11, Cocoon Basket
dcs_climate:dcs_cont_basket:12, Garlic Basket
dcs_climate:dcs_cont_basket:13, Leaf Lettuce Basket
dcs_climate:dcs_cont_jutebag:0, Bean Bag
dcs_climate:dcs_cont_jutebag:1, Chili Pepper Bag
dcs_climate:dcs_cont_jutebag:2, Walnut Bag
dcs_climate:dcs_cont_jutebag:3, Date Bag
dcs_climate:dcs_fluidblock_oil:0, Seed Oil
dcs_climate:dcs_fluidblock_greentea:0, Green Tea
dcs_climate:dcs_fluidblock_blacktea:0, Black Tea
dcs_climate:dcs_fluidblock_coffee:0, Coffee
dcs_climate:dcs_fluidblock_cream:0, Cream
dcs_climate:dcs_fluidblock_vegetable:0, Vegetable Juice
dcs_climate:dcs_fluidblock_stock:0, Soup Stock
dcs_climate:dcs_fluidblock_lemonade:0, Lemonade
dcs_climate:dcs_fluidblock_black_liquor:0, Black Liquor
dcs_climate:dcs_fluidblock_hotspring:0, Hot Spring
dcs_climate:dcs_fluidblock_mazai:0, Absinthe
dcs_climate:dcs_fluidblock_soy_milk:0, Soy Milk
dcs_climate:dcs_fluidblock_hydrogen:0, Hydrogen
dcs_climate:dcs_fluidblock_ammonia:0, Ammonia
dcs_climate:dcs_fluidblock_nitric_acid:0, Nitric_Acid
